Unnamed: 0,STATION,DATE,"Nitrogen, Total Kjeldahl (TKN)",pH (lab),"Phosphorus, Total",Nitrates (Nitrate + Nitrite),"Conductivity, Specific","Solids, Suspended (TSS)","Chloride, Total",Nitrite,"Oxygen, Dissolved",pH (field),"Conductivity, Specific (Field)","Depth, Sample (Field)","Oxygen, Dissolved (% Saturation)","Conductivity, Ambient",Chloride (Field),Nitrate,"Carbon, Dissolved Organic (DOC)","Conductivity, Estimated",Nitrogen; total,Nitrogen; nitrite,Nitrogen; nitrate+nitrite,"Carbon, Dissolved Inorganic (DIC)",Conductivity (Calculated),LATITUDE,LONGITUDE,Phosphorus,Nitrogen
231,6008000702,1-23-2018,2.46,15.86,0.86,,2070.0,288.0,462.0,0.055,13.78,8.24,1031.0,300.0,94.6,,,1.85,,,2.68,0.062,1.95,,,43.67833163882,-79.67950823179,0.21,
287,6008000702,12-12-2017,0.53,16.759999999999998,0.0521,,2630.0,4.6,497.0,0.011,15.87,8.44,1317.0,150.0,109.2,,,0.51,,,0.66,0.005,0.518,,,43.67833163882,-79.67950823179,0.49,
300,6008000702,2-20-2018,2.85,15.98,1.112,,2570.0,672.0,651.0,0.036,16.9,8.29,647.0,,116.4,,,0.86,,,1.47,0.041,0.891,,,43.67833163882,-79.67950823179,0.45,
320,6008000702,3-20-2018,0.82,16.78,0.0382,,4430.0,2.8,1153.0,0.022,16.68,8.49,2282.0,160.0,120.3,,,0.47,,,0.72,0.009,0.528,,,43.67833163882,-79.67950823179,0.47,
1121,6008300902,1-25-2018,1.4,16.38,0.22,,1186.0,38.8,100.2,0.015,15.2,8.3,591.0,500.0,104.0,,,0.93,,,1.49,0.021,0.942,,,43.88810001401,-79.71795598183,0.32,
1192,6008300902,2-22-2018,1.88,16.14,0.5740000000000001,,1019.0,190.8,114.8,0.015,13.44,8.24,751.0,250.0,93.3,,,0.81,,,1.12,0.02,0.783,,,43.88810001401,-79.71795598183,0.17,
1208,6008300902,3-22-2018,0.21,16.62,0.0596,,1178.0,31.0,58.0,0.005,13.91,8.53,589.0,250.0,99.5,,,0.25,,,0.38,0.009,0.285,,,43.88810001401,-79.71795598183,0.32,
1632,6008301802,2-22-2018,0.84,16.27,0.1415,,907.0,49.7,84.6,0.007,13.39,7.99,457.0,180.0,91.8,,,0.46,,,0.8,0.01,0.443,,,43.92614413905,-79.80320748191,0.35,
1652,6008301802,3-22-2018,0.49,16.75,0.0439,,1318.0,15.5,118.5,0.006,13.97,8.44,664.0,225.0,96.7,,,0.86,,,0.99,0.008,0.904,,,43.92614413905,-79.80320748191,0.32,
1670,6008301802,4-21-2016,0.75,25.07,0.0883,0.37,1787.0,26.1,164.6,0.013,11.35,8.41,598.0,250.0,101.1,,,0.718,,672.0,0.59,0.004,0.385,,,43.92614413905,-79.80320748191,0.49,
2466,6008310402,4-21-2016,0.75,24.98,0.0858,0.259,1899.0,26.2,187.6,0.013,11.97,8.39,634.0,190.0,106.9,,,0.507,,710.0,0.51,0.004,0.282,,,43.92418126404,-79.83452048194,0.47,
